127.0.0.1 - - [28/Mar/2019:08:30:41 +0900] "GET / HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:30:52 +0900] "GET /mobile/scm/main/login.do HTTP/1.1" 200 4501
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:30:52 +0900] "GET /images/logo/isdsLogo.png HTTP/1.1" 200 16941
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:30:52 +0900] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:34:02 +0900] "POST /loginCheck HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:34:02 +0900] "GET /mobile/scm/main/main.do HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:34:02 +0900] "GET /mobile/scm/main/list HTTP/1.1" 200 1744
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:34:04 +0900] "GET /mobile/scm/orderDelivery/mSalesShipR.do HTTP/1.1" 200 8529
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:34:05 +0900] "GET /mobile/scm/orderDelivery/mSalesShipR/salesDeptCd HTTP/1.1" 200 22562
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:34:05 +0900] "GET /mobile/scm/stockItem/stockItemByFacR/combo HTTP/1.1" 200 3505
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:34:05 +0900] "GET /mobile/scm/orderDelivery/mSalesShipR/salesEmpCombo HTTP/1.1" 200 145847
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:34:06 +0900] "POST /mobile/scm/orderDelivery/mSalesShipR/salesEmpCombo HTTP/1.1" 200 15192
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:34:30 +0900] "GET /mobile/scm/orderDelivery/mSalesShipR.do HTTP/1.1" 200 8529
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:34:30 +0900] "GET /mobile/scm/stockItem/stockItemByFacR/combo HTTP/1.1" 200 3505
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:34:30 +0900] "GET /mobile/scm/orderDelivery/mSalesShipR/salesDeptCd HTTP/1.1" 200 22562
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:34:30 +0900] "GET /mobile/scm/orderDelivery/mSalesShipR/salesEmpCombo HTTP/1.1" 200 145847
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:34:32 +0900] "POST /mobile/scm/orderDelivery/mSalesShipR/salesEmpCombo HTTP/1.1" 200 15192
0:0:0:0:0:0:0:1 - - [28/Mar/2019:08:35:49 +0900] "GET /mobile/scm/orderDelivery/mSalesShipR.do HTTP/1.1" 200 8544
