127.0.0.1 - - [03/Jun/2019:08:52:33 +0900] "GET / HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:54:31 +0900] "GET / HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:54:36 +0900] "GET /mobile/scm/main/login.do HTTP/1.1" 200 4501
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:54:36 +0900] "GET /erp/scm/login.do HTTP/1.1" 200 9337
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:54:36 +0900] "GET /favicon.ico HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:54:42 +0900] "POST /loginCheck HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:54:42 +0900] "GET /mobile/scm/main/main.do HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:54:42 +0900] "GET /mobile/scm/main/list HTTP/1.1" 200 1957
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:54:50 +0900] "GET /mobile/scm/orderDelivery/mSalesShipR.do HTTP/1.1" 200 8894
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:54:50 +0900] "GET /mobile/scm/stockItem/stockItemByFacR/combo HTTP/1.1" 200 3505
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:54:50 +0900] "GET /mobile/scm/orderDelivery/mSalesShipR/salesDeptCd HTTP/1.1" 200 22562
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:54:50 +0900] "GET /mobile/scm/orderDelivery/mSalesShipR/salesEmpCombo HTTP/1.1" 200 144320
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:54:52 +0900] "POST /mobile/scm/orderDelivery/mSalesShipR/salesEmpCombo HTTP/1.1" 200 15192
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:54:56 +0900] "POST /mobile/scm/orderDelivery/mSalesShipR/salesEmpCombo HTTP/1.1" 200 3047
